County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr
12115,"Sarasota County, FL",.,.,15,0.08,0.071,.,.,16,6,46
12117,"Seminole County, FL",.,.,.,0.07,0.061,.,.,16,6.2,62
12127,"Volusia County, FL",.,.,.,0.07,0.061,.,.,16,6.2,40
12129,"Wakulla County, FL",.,.,.,0.07,0.061,.,.,.,.,.
13015,"Bartow County, GA",.,.,.,.,.,.,.,.,.,.
13021,"Bibb County, GA",.,.,.,0.08,0.064,11,3,21,10,.
13051,"Chatham County, GA",.,.,.,0.08,0.059,93,28,18,9,.
13055,"Chattooga County, GA",.,.,.,0.07,0.059,.,.,.,.,.
13059,"Clarke County, GA",.,.,.,0.07,0.06,.,.,28,9.7,.
13063,"Clayton County, GA",.,.,.,.,.,.,.,18,9.7,.
13067,"Cobb County, GA",.,.,.,0.08,0.067,.,.,20,9.6,.
13069,"Coffee County, GA",.,.,.,.,.,.,.,.,.,.
13073,"Columbia County, GA",.,.,.,0.07,0.061,.,.,.,.,.
13077,"Coweta County, GA",.,.,.,0.07,0.053,.,.,.,.,.
13085,"Dawson County, GA",.,.,.,0.07,0.063,.,.,.,.,.
13089,"DeKalb County, GA",1.3,1.2,43,0.08,0.062,6,2,21,11.9,34
13095,"Dougherty County, GA",.,.,.,.,.,.,.,30,11.6,.
13097,"Douglas County, GA",.,.,.,0.08,0.063,.,.,.,.,.
13115,"Floyd County, GA",.,.,.,.,.,28,3,19,9.4,.
13121,"Fulton County, GA",1.7,1.2,.,0.1,0.069,9,2,20,10.4,28
13127,"Glynn County, GA",.,.,.,0.07,0.057,.,.,19,8.2,.
13135,"Gwinnett County, GA",.,.,.,0.08,0.069,.,.,18,8.9,.
13139,"Hall County, GA",.,.,.,.,.,.,.,17,8.5,.
13151,"Henry County, GA",.,.,.,0.09,0.07,.,.,.,.,.
13153,"Houston County, GA",.,.,.,.,.,.,.,18,8.7,.
13185,"Lowndes County, GA",.,.,.,.,.,.,.,19,8.5,.
13213,"Murray County, GA",.,.,.,0.07,0.062,.,.,.,.,.
13215,"Muscogee County, GA",.,.,.,0.07,0.06,.,.,27,9.9,.
13223,"Paulding County, GA",0.7,0.6,18,0.07,0.062,.,.,19,8.5,.
13231,"Pike County, GA",.,.,.,0.07,0.064,.,.,.,.,.
13245,"Richmond County, GA",.,.,.,0.08,0.063,63,9,18,9.2,28
13247,"Rockdale County, GA",.,.,20,0.09,0.071,.,.,.,.,.
13261,"Sumter County, GA",.,.,.,0.07,0.06,.,.,.,.,.
13295,"Walker County, GA",.,.,.,.,.,.,.,23,10,.
13303,"Washington County, GA",.,.,.,.,.,.,.,22,9.4,.
13319,"Wilkinson County, GA",.,.,.,.,.,.,.,22,9.8,.
15001,"Hawaii County, HI",.,.,.,.,.,1219,246,23,13.3,.
15003,"Honolulu County, HI",1.5,1.2,23,0.06,0.051,9,5,13,6.2,39
15007,"Kauai County, HI",2.2,1,32,.,.,25,10,11,3.9,.
15009,"Maui County, HI",.,.,.,.,.,.,.,14,7.2,.
16001,"Ada County, ID",3,1.4,39,0.1,0.074,11,7,89,13.1,99
16005,"Bannock County, ID",.,.,.,.,.,40,19,25,9.2,148
